Date,User,Number of likes,Tweeted from,Tweets
2022-10-31 12:01:58+00:00,katemcclelland7,0,Twitter for iPhone,Scrapping non-dom tax status could raise £3.2 billion per year for the economy - money that could go towards supporting people in need. Add your name on @organisehq if you agree @RishiSunak &amp; @Jeremy_Hunt should scrap non-dom tax status in their Budget: https://t.co/hoNVAPER4h
2022-10-31 12:01:55+00:00,JohnEJefferson,0,Twitter Web App,Rishi could be set for first U-turn after backlash to his COP 27 snub https://t.co/jcIO2ii6bi via @MetroUK
2022-10-31 12:01:54+00:00,JuneMitche11,0,Twitter for iPad,"@Steven_Swinford So what? 
Still a breach and @SuellaBraverman needs sacking @RishiSunak. 
Enough now!!
#GeneralElectionNow"
2022-10-31 12:01:54+00:00,RTurner0,0,Twitter Web App,@Natures_Voice @RishiSunak Why?
2022-10-31 12:01:51+00:00,bjc5473,0,Twitter for iPhone,"@RishiSunak @LulaOficial Do you really think you will still be the Government. Times are changing &amp; people want a different type we have had enough of greed, immorality self serving individuals. We want our country back. NOW"
2022-10-31 12:01:50+00:00,SchoolBoyError_,0,Twitter for Android,@Bendita2020 @MayerAgain @Ted_Wellread @ActivePatriotUK @SuellaBraverman @RishiSunak @Conservatives Your son sounds like a loser
2022-10-31 12:01:47+00:00,RobiRoby1234,0,Twitter Web App,"@RishiSunak Mr Sunak pls give me £1,000,000,00 for gas and energy bill ples"
2022-10-31 12:01:45+00:00,ByTheHand_,0,Twitter Web App,@RishiSunak @LulaOficial Another corrupt WEF puppet replacing someone with balls to stand up and say no
2022-10-31 12:01:44+00:00,belly__fluff,0,Twitter for iPhone,@RishiSunak this you? https://t.co/b8ihOjY45V
2022-10-31 12:01:44+00:00,SandyHowden1,0,Twitter Web App,@Deltacosta5 @Lee56266092 @MacfadyenAngus @theSNP @AlbaParty @RishiSunak As soon as Kenny stands up to speak every single one of them in the front row get up to leave. Watch row 2 where the SNP woman MP tries to scurry out bending down. Looks weird. And funny.
2022-10-31 12:01:44+00:00,Kate_Travels,0,Twitter for iPhone,"If Rishi needed any more reasons to attend #COP27, he’s welcome to have a word with the old bloke on Yeovil high street wearing tiny short shorts the day before November… #thingsyoucannotunsee"
2022-10-31 12:01:44+00:00,EveningStandard,0,Echobox,"Rishi Sunak will fly to the Cop27 global warming summit in Egypt if he can find time in his hectic schedule 🗞️ #frontpage 

https://t.co/IhHkM46HLn https://t.co/rrTyeQ0tsy"
2022-10-31 12:01:42+00:00,Heaney20Heaney,0,Twitter for iPhone,@DrHoenderkamp @RishiSunak The media is on his side. What are you talking about. If he makes a crap decision then has to reverse that’s his problem. He should be there to represent the UK at a global climate meeting. We are chair at the moment.
2022-10-31 12:01:42+00:00,MatheusR2017,0,Twitter for Android,@fatoseverdades0 @Cassianocrr @CentralEleicoes Ele tá falando do Rishi Sunak
2022-10-31 12:01:41+00:00,ZafuDiamond,0,Twitter for Android,@mjtward19 @Sulaco68 @RishiSunak https://t.co/KPv2mI5c8B
2022-10-31 12:01:39+00:00,RavisSam,0,Twitter for Android,@LincsLimpet @RishiSunak Did you have a pandemic and supply chain problems during those 10 years?
2022-10-31 12:01:38+00:00,PhilipLord17,0,Twitter for iPhone,@RishiSunak hi prime minister I have been a conservative member for over 40 years I’m fully retired and still paying tax not a great amount but I don’t want it going to pay for illegal migrants in hotels this has to stop urgently Phil Liverpool
2022-10-31 12:01:37+00:00,ConnorDennis01,0,Twitter for iPhone,Andrew Bridgen submitted his about 4 days before Rishi was announced as PM I’m sure https://t.co/Okmf6fdlcf
2022-10-31 12:01:37+00:00,PetePhillips71,0,Twitter Web App,@NHSMillion This is disgusting after the NHS fought off Covid. Wake up Rishi and do the right thing
2022-10-31 12:01:36+00:00,CeloBall,0,Twitter Web App,"@ReaQ75225221 @RishiSunak @LulaOficial @wef This is so freaking obvious, the ""democracy"" does not work that way... the system is f..... up!"
2022-10-31 12:01:36+00:00,buster_man,0,Twitter for Android,@RishiSunak @LulaOficial Who are you?
2022-10-31 12:01:35+00:00,Vinod92157,0,Twitter Web App,@RishiSunak @PoppyLegion Namaste Respected Mr. Prime Minister Ji. https://t.co/AqQKJnmUay
2022-10-31 12:01:33+00:00,WAYNELA04819538,0,Twitter for Android,@RishiSunak @LulaOficial 英國子孫也過“排燈節”🤣🤣🤣我是英國人 但我也要過“排燈節”英國人民 你點燈了嗎？？？🤪😝😜你確定我們的首相真的是英國人？？？還是印度人吖？？？ https://t.co/dxu3qPlslm
2022-10-31 12:01:33+00:00,jenny_truman,1,Twitter for iPhone,@Factor50JSA @Natures_Voice @RishiSunak @Barrattplc If they have a partnership with @Barrattplc that is disgraceful . You should see what these developers have done to nature .  They only care about the £ .
2022-10-31 12:01:30+00:00,nomadsoulful,0,Twitter for Android,"@Afzal4Gorton @RishiSunak What because he said ""little"" ?"
2022-10-31 12:01:30+00:00,bbc_lavelle,0,Twitter for iPhone,"@RhonddaBryant Rishi Sunak ‘His political antennae don’t work’
I think it all depends upon who he listens to: SPADS are employed for a reason."
2022-10-31 12:01:27+00:00,DenHaagJimmy,0,Twitter Web App,"@AlStewartOBE @RishiSunak You wouldn't understand, your mastery of language is so ineffective that it got you fired from ITN.

""Angry ape"""
2022-10-31 12:01:26+00:00,AnnieB_is_me,0,Twitter for iPhone,@markchild7 @AlStewartOBE @RishiSunak @markchild7 but you’re still not ‘available’. I’m going on an Antigua island tour today. https://t.co/IftJa5dt5b
2022-10-31 12:01:25+00:00,urquilurki,1,Twitter for iPhone,@RishiSunak #SuellaBravermanOut #GeneralElectionNow https://t.co/vKHTEz34h7
2022-10-31 12:01:24+00:00,TheHumbleEgg,0,Twitter Web App,@RishiSunak @PoppyLegion https://t.co/QGs21xFVEo
2022-10-31 12:01:23+00:00,ChrisYeates69,0,Twitter for iPhone,@DrHoenderkamp @RishiSunak WEF puppet you will own nothing and be happy #GreatReset #UniversalBasicIncome #ClimateScam
2022-10-31 12:01:18+00:00,MichaelCJDavid,0,Twitter for iPhone,"@AngelaRayner Whatever it is that @RishiSunak and @SuellaBraverman are doing, if it keeps triggering the rabid #Leftwaffe then I’m good with it all. https://t.co/F1I0Tff2MC"
2022-10-31 12:01:07+00:00,Ali_Jose_Leslie,0,Twitter Web App,"@Aiannucci @RishiSunak He is probably a fraudulent tax payer himself. He is a tax evasor already.

The fox and the chickens pen."
2022-10-31 12:00:55+00:00,jacquistephens5,0,Twitter for iPhone,@MikeWarrington7 @sea_bouy @harryquinton @RishiSunak @Jeremy_Hunt I will join you
2022-10-31 12:00:53+00:00,WriterJackWhite,4,Twitter for iPhone,Cruella Braverman lied about email &amp; deliberately created Manston overcrowding diphtheria hell. Sack her @RishiSunak https://t.co/9DSaq53szO
2022-10-31 12:00:51+00:00,mmmalkie,0,Twitter for Android,@abdulrahim7i2 @RishiSunak @PoppyLegion I don't
2022-10-31 12:00:51+00:00,Tomsker1,1,Twitter Web App,@Brown666W @RishiSunak @PoppyLegion 👏👏👏👏👏
2022-10-31 12:00:50+00:00,fela_news,0,Twitter Web App,"Rishi Sunak refuses to attend Cop27, ex-UK PM plans to attend Climate Summit

https://t.co/c5T9KbrNlP

#borisjohnson #rishisunak #cop27 #kingCharles #rishisunakincop27 #RishiSunaklatestNews #BorisJohnson #BorisJohnsonNews #world #worldnews #felanews #felaworldnews https://t.co/UhDTWuuEG8"
2022-10-31 12:00:49+00:00,MickyWard,0,Twitter for Android,@NickolettaZ @sabrinaeccles @TalkTV @SuellaBraverman @RishiSunak Gammon
2022-10-31 12:00:48+00:00,Lordofthedaemon,0,Twitter for Android,"@RishiSunak @LulaOficial Absolute joke 🤣

Tories have destroyed the UK economy, are wrecking the environment and are seeking to turn the UK into an authoritarian state akin to Russia or China.

Lula should avoid Sunak"
2022-10-31 12:00:43+00:00,RobinWhitlock66,0,Twitter Web App,"@SailFreeUK @RestoreTrustNT @thetimes @JamesSBeal @nationaltrust @michelledonelan @DCMS @RishiSunak Neil Record is on the board of the climate change denier Global Warming Policy Forum (GWPF), and that is reason enough, even on its own, to oppose the Restore Trust. https://t.co/bBCkoeanph"
2022-10-31 12:00:42+00:00,86Shyguy,0,Twitter for Android,"Lbc: in the 6 weeks Leaky Sue Braverman has been home sec she has sent confidential documents from her personal email 6 times. And has issued a seven page apology.... but is still not resigning.

She must go...@RishiSunak @RhonddaBryant @morton_wendy @HoCStandards"
2022-10-31 12:00:41+00:00,plz_mudkarain,0,Twitter for Android,Zachary Quinto amused by question about ‘Star Trek fan’ Rishi Sunak https://t.co/M7RrihOE6i
2022-10-31 12:00:41+00:00,rss222,0,Twitter for Android,"@RishiSunak @PoppyLegion No votes
No mandate 
#GeneralElectionNow"
2022-10-31 12:00:41+00:00,justjanepix,0,Twitter for Android,@RishiSunak @POTUS You keep escalating this unwinnable war at our expense. You're British PM and seem happy for pensioners to starve for this proxy war against Russia.
2022-10-31 12:00:39+00:00,evillaughpain,0,Twitter for iPhone,@ben_hayet12 @POTUS @SecBlinken @SFRCdems @SenatorMenendez @JosepBorrellF @RishiSunak @UKParliament @Europarl_EN @NATO https://t.co/zT8Hy9jrOl
2022-10-31 12:00:39+00:00,proff_kitchen14,0,Twitter for Android,"@Makavelli275 We will never grow if we keep looking at all this criteria(tribe,religion, session etc) up tell now I don't know where Boris Johnson,truss or rishi is from,wat is important is capacity"
2022-10-31 12:00:38+00:00,ratzakliman,0,Twitter for iPad,@Midge1415 @RishiSunak @MozMorris4 @LulaOficial Pahahaha - brilliant!
2022-10-31 12:00:36+00:00,REM831119,0,Twitter for iPhone,"When starmer rishi and biden are celebrating the Brazilian PM appointment, you know he’s exactly what the world doesn’t need"
2022-10-31 12:00:34+00:00,FarrellPereira,0,Twitter for Android,@RishiSunak @LulaOficial @andrevaladao
2022-10-31 12:00:31+00:00,True_Belle,0,Twitter Web App,Rishi Sunak struggles to slot bank note into Poppy Appeal tin https://t.co/8tUAgjna4c via @MailOnline
2022-10-31 12:00:29+00:00,HustyTaylor,0,Twitter Web App,"@DianeCu10530183 @The_UK_NeedsYou @GBNEWS @RishiSunak @10DowningStreet @Conservatives @ConsPost @danwootton I could be proven wrong but someone who has so much hate towards migrants that they petrol bomb innocent people, what other belief system promotes this behaviour? It is ingrained in the great replacement theory and our racist gutter press about the 'evil migrants'"
2022-10-31 12:00:28+00:00,JohnBro71606487,0,Twitter for Android,@Jennife94501468 @RishiSunak @SuellaBraverman If he was going to control Suella. Would not have appointed her in the first place .He will just let Suella do what she's good at risking security. While the rest do what they want to even damage this country even more not happy with 12 years .
2022-10-31 12:00:27+00:00,Dot_E_Fresh,0,Twitter Web App,@AlStewartOBE @kaardiffboy1 @RishiSunak If you believe that then you've been on GB News way too long.
2022-10-31 12:00:27+00:00,joanyb2,0,Twitter for iPad,"Really Rishi?
Please stop u turning and stand by what you say or you will lose my support. Don’t go to COP this time. You have enough to do here."
2022-10-31 12:00:27+00:00,dulciewills,0,Twitter Web App,@RishiSunak @LulaOficial I look forward to you doing the right thing and calling an election
2022-10-31 12:00:26+00:00,ItalianCroeso,0,Paper.li,Rishi Sunak accepted cash from fossil fuel investors in campaign to become PM https://t.co/yv22HvZbv3
2022-10-31 12:00:26+00:00,mmmalkie,0,Twitter for Android,@RishiSunak @PoppyLegion Hey rich boy how much are you PERSONALLY donating?
2022-10-31 12:00:23+00:00,JacieAustin5,0,Twitter for Android,@chrispur1955 @SuellaBraverman @RishiSunak How can a person of colour be so very very racist but very cruel with it?  I bet her dreams are full of torture . https://t.co/RnHtpxG7s9
2022-10-31 12:00:22+00:00,lbaddhan,0,Twitter for Android,@PippaCrerar Rishi far too focused on keeping his party together than do what's right for the country. He needs to sack her. Where's the integrity he promised? #ToriesDestroyingOurCountry
2022-10-31 12:00:20+00:00,07_herculean,0,Twitter Web App,"@Independent Despite his £s his name is laughed at in India. To make it look not bad his parents named him Rishi viz The sage (rishi) Sunak. But it derives from Sanskrit (whence in Armenian, Konkani etc) Shwan = Tiny dog. Whence German: hound. TINY DOG!"
2022-10-31 12:00:19+00:00,AnnKane93788706,0,Twitter for Android,@RishiSunak @PoppyLegion I give my donations to the homeless veteran on the streets
2022-10-31 12:00:19+00:00,ShaperSaid,0,Twitter for Android,"@SuellaBraverman resign. You are annoying. 

@Conservatives 

@RishiSunak"
2022-10-31 12:00:19+00:00,vldcap2012,0,Twitter Web App,@RishiSunak @LulaOficial Congratulations.
2022-10-31 12:00:19+00:00,Bitterfingers75,0,Twitter for Android,"@RishiSunak @LulaOficial Weird that he was actually elected by a public vote, I'd almost  forgotten that was what democratic county's do. A novel idea the UK should give a go. #RishiSunakMP #NotMyPM"
2022-10-31 12:00:13+00:00,realdhruvgalot,0,Twitter for Android,"Happy Birthday Rishi Bhai. 
Stay blessed. 

@RishiGupta_31 https://t.co/8ZJMWL7Yzf"
2022-10-31 12:00:13+00:00,guardiannews,5,Echobox,"Rishi Sunak could U-turn on Cop27 summit snub, minister suggests https://t.co/eLZa9rOAxz"
2022-10-31 12:00:11+00:00,ProjWeToldYouSo,0,Twitter for iPad,"@RishiSunak and his despicable Ministers of Vile aren’t even trying to do government, are they?

#Braverman, #Cleverly, #Raab et al, all spending so much time desperately trying to hang onto their jobs that they have no time left to actually do them.

#GeneralElectionN0W"
2022-10-31 12:00:11+00:00,EchosStart,0,SocialFlow,"4 choses à savoir sur Rishi Sunak, le nouveau Premier ministre britannique 🇬🇧

Avec Les Echos ➡️ https://t.co/8vG308jpGX

#RishiSunak #politique #RoyaumeUni #Premierministre #PrimeMinister https://t.co/H02uWv6ouJ"
2022-10-31 12:00:10+00:00,StuartAM23,0,Twitter for Android,@RishiSunak @PoppyLegion #ToryCriminalsUnfitToGovern #ToriesOut #LeakySue #LeakyLiz https://t.co/NZ8FFtPBcm
2022-10-31 12:00:08+00:00,IETIndia,0,Hootsuite Inc.,"Have you booked your seat at the future yet? Decode the future with Dr Rishi Mohan Bhatnagar at #IET #FutureTechCongress 2022. Just 3 weeks left! Hurry! 
Register Now: https://t.co/xgRU5yKZ6t

#IETIndia #AI #Blockchain #DigitalTwin #FTC2022 #Healthcare #Supplychain #Manufacturing https://t.co/mf0doHWw6K"
2022-10-31 12:00:03+00:00,LabourfutureUK,0,TweetDeck,"As Rishi Suank embarks on Austerity 2.0 the only people who will benefit are the super wealthy.

Small businesses, families and working people will suffer and public services will be hit hard.

Only Labour is can deliver growth, prosperity and security.

https://t.co/0Yfm7xYyuM"
2022-10-31 12:00:03+00:00,ac1d_apu,0,TweetDeck,"PM #SheikhHasina has congratulated new PM of the #UnitedKingdom @RishiSunak, MP. She stressed that #Bangladesh &amp; the #UK enjoy #historic relations deeply rooted in shared values of #democracy, #secularism, &amp; #tolerance.
@BDMOFA @UKinBangladesh @RCDicksonUK
https://t.co/GKtjc5Vcad"
2022-10-31 12:00:03+00:00,hnkimma,0,Twitter Web App,"The new British Prime Minister Rishi Sunak expressed his deep condolences to all the victims and their families over the catastrophe during the Halloween event in Itaewon

Thank you https://t.co/S4xekwu7qy"
2022-10-31 12:00:00+00:00,BarrySheerman,2,Twitter Web App,"This Wednesday I've got a slot at Prime Minister's Questions. I want to know what you want to ask Rishi Sunak.

Let me know here ⬇️

barry.sheerman.mp@parliament.uk https://t.co/P0pcrW7nFl"
2022-10-31 11:59:57+00:00,GrahamColk,1,Twitter for iPhone,"@BethWinterMP @SuellaBraverman’s views and dreams on immigration are abhorrent to any reasonable human being, but she is also incompetent in every role she takes, pushed there by her extremist handlers at the ERG.If @RishiSunak had integrity he would sack her. He has not. #ToryIncompetence"
2022-10-31 11:59:53+00:00,oveingenyberg,0,Twitter Web App,"Rishi Sunak could still attend COP27 climate summit - BBC News https://t.co/Y6aZGIAZF3 
🐹"
2022-10-31 11:59:52+00:00,nahi_tigray,0,Twitter for Android,"The IC must stop the ongoing ethnic cleaning by the Amhara forces in #SouthernTigray IC ACT&amp;Stop the omging massacre . 

@UNOSAPG @hrw @Amnesty @UNHumanRightsEU @SecBlinken @JosepBorrellF @antonioguterres @RishiSunak #TigrayUnderAttack

 #EritreaOutOfTigray #EndTigrayGenocide @na https://t.co/2ZEx8qhrrX"
2022-10-31 11:59:49+00:00,tribunnews,0,Twitter Web App,Perdana Menteri Italia Giorgia Meloni dan PM Inggris Rishi Sunak Pastikan Hadir di KTT G20 https://t.co/Hh7GqEuue1 via @tribunnews
2022-10-31 11:59:44+00:00,KateAus1976,0,Twitter for iPad,@RishiSunak @PoppyLegion Resign fraud🤡
2022-10-31 11:59:43+00:00,purapoesiaaofc,0,Twitter for Android,"@DutraNayanne @RishiSunak @LulaOficial Cry more, cattle."
2022-10-31 11:59:39+00:00,HAtsukoPeridot8,0,Twitter Web App,@MinPres @RishiSunak Who can not understand difference between the friends from Seoul and the friends from soulmate?Wie kan het verschil niet begrijpen tussen de vrienden uit Seoul en de vrienden uit soulmate?
2022-10-31 11:59:37+00:00,SilverBackOmi,0,Twitter Web App,@RishiSunak @LulaOficial Did Britain blow up Nord Stream 2? #itsdone #Nordstream2  https://t.co/XDYhzACEdB
2022-10-31 11:59:36+00:00,akktm1,0,Twitter for Android,"Breaking News :
Rishi Dhamala will be doing Hamla on an interview with Rishi Sunak.
This episode will be called "" Sirf naam hi kaafee hai""
Dhamala will be cornering Sunak as to why he stole his name - Janata Janna chahanchha."
2022-10-31 11:59:35+00:00,AkashNa14107714,0,Twitter for Android,"@CBTHunting #BanTrophyHunting ban this cruel game , are we humans lost sense or what , what does even we get by doing this kind cruel act , we as a humans failed to protect our nature and animals , how cruel we are , shame 
@RishiSunak @UN @peta @narendramodi @_AnimalAdvocate https://t.co/sz1LC2HUwZ"
2022-10-31 11:59:33+00:00,HAtsukoPeridot8,0,Twitter Web App,@MinPres @RishiSunak Who can not understand difference between the friends from Seoul and the friends from soulmate?Wie kan het verschil niet begrijpen tussen de vrienden uit Seoul en de vrienden uit soulmate?
2022-10-31 11:59:32+00:00,SnookerJudge,0,Twitter Web App,@RishiSunak @LulaOficial Great to see Big State Globalists getting along like this
2022-10-31 11:59:30+00:00,1872RCK,0,Twitter for iPhone,@carefreecj1872 @AlStewartOBE @xlavadadiers @RishiSunak Won’t happen. And neither should it. But they have to grow a fkn backbone and stop being directed by the MSM and opposition pressure.
2022-10-31 11:59:30+00:00,Mannon17947862,0,Twitter for Android,@RishiSunak @PoppyLegion #fakeperson
2022-10-31 11:59:27+00:00,Eddiroo,0,Twitter for iPad,@sgrmuk @RishiSunak @Conservatives @10DowningStreet I couldn’t agree more
2022-10-31 11:59:24+00:00,SidThomas19,0,Twitter Web App,@RishiSunak @LulaOficial blah blah blah... snowflake
2022-10-31 11:59:23+00:00,rg6antony,0,Twitter Web App,"@ThatAlexWoman Alex Phillips, the likelihood of a leader sorting out a dumpster fire of an economy depends on his or her worldview/ideology. Margaret Thatcher succeeded because she was a conservative/libertarian. But Rishi Sunak is a communist (a Marxian liberal)."
2022-10-31 11:59:23+00:00,AlexFrampton3,1,Twitter Web App,"@RishiSunak @PoppyLegion #We need to freeze all Iranian assets. For suplying Russia with drones.
#We need out of the EU rules so we can control our borders
#We need out of the carbon nutral crap. And concentrate on getting our population density down to a safe level
#we need EDF OUT of our power stations"
2022-10-31 11:59:22+00:00,asmanorth,0,Twitter for iPhone,Why would they demean themselves by busing subhumans? @SuellaBraverman @pritipatel @RishiSunak this is on you https://t.co/CDwkMPDTWh
2022-10-31 11:59:22+00:00,PatriciaAngus4,0,Twitter for Android,@MartinDaubney @GBNEWS @SuellaBraverman @RishiSunak and this will continue if you don't stop them ....and the migrants !!
2022-10-31 11:59:20+00:00,RobinWhitlock66,0,Twitter Web App,@SailFreeUK @RestoreTrustNT @thetimes @JamesSBeal @nationaltrust @michelledonelan @DCMS @RishiSunak And this: https://t.co/BD9fByqD4l
2022-10-31 11:59:19+00:00,zzrrrfvv,0,Twitter for Android,@RishiSunak Hope he is going to sort out immigration!
2022-10-31 11:59:19+00:00,iamabhaychauhan,0,Twitter for Android,@RishiSunak @PoppyLegion https://t.co/QtrDWbkY2X
2022-10-31 11:59:16+00:00,JoanCra70145309,0,Twitter for Android,@Feargal_Sharkey @DefraGovUK @Ofwat @EnvAgency @RishiSunak what are you doing about this?
2022-10-31 11:59:15+00:00,_setoodeh,0,Twitter for Android,"@rishibagree too good rishi bhai..

I expect similar charges for UPI soon.the money earnt can be used for nation building...this revdi culture of free UPI should stop and banks should give honor ppl paying higher fees for UPI.."
2022-10-31 11:59:12+00:00,POLITlCSUK,24,Twitter for iPhone,🚨| BREAKING: Rishi Sunak in a major crisis as ‘Deeply unhappy’ Tory MPs are ALREADY drafting letters of no confidence in him.
2022-10-31 11:59:10+00:00,FranTrazCravos,0,Twitter for Android,"@jj_nto @kaloskatoa @PaulForOhio Better example: Has anyone voted for Rishi Sunak to become UK prime minister? That's more of a philosophical question then a practical, countable thing"
2022-10-31 11:59:09+00:00,LidiaRFS,0,Twitter for iPhone,@RishiSunak @LulaOficial Thank you!!! ❥
2022-10-31 11:59:08+00:00,claufetter,0,Twitter Web App,"@lovefamilywales @RishiSunak @LulaOficial He
Is
A
Criminal
….
Brazil is the second largest cleptocracy in the world (first is Russia)
DECENT is everything that Lula is not.
Wake up."
2022-10-31 11:59:02+00:00,LaCryptoMonnai1,0,dlvr.it,Rishi Sunak : un avocat de la crypto face à la détresse économique ? https://t.co/zxvKiJpWyS
2022-10-31 11:59:02+00:00,Arunsheoranadv,0,Twitter for Android,@RishiSunak @PoppyLegion The best...ever we can see in life .  Wow!!!!
2022-10-31 11:59:02+00:00,HanlireCom,0,WordPress.com,Rishi Sunak leaves door open to attend COP27 climate summit after backlash https://t.co/aWB9ujy34W
